Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1691175828,10,,Aggregated,11.800000,0.000000,100,130,190,220,420,590,950,1100,2300,2300,2300,493,0,100.0,183.1490206328599,30.668432999998885,2298.4423930000003,59443.64705882353
1691175829,10,,Aggregated,12.000000,0.000000,100,130,200,220,440,590,930,1000,2300,2300,2300,505,0,100.0,184.47769495841564,30.668432999998885,2298.4423930000003,59218.15049504951
1691175830,10,,Aggregated,12.100000,0.000000,100,130,190,220,440,590,930,1000,2300,2300,2300,520,0,100.0,182.08015490384597,30.668432999998885,2298.4423930000003,58705.74615384615
1691175831,10,,Aggregated,12.800000,0.000000,100,130,190,220,420,580,930,1000,2300,2300,2300,529,0,100.0,181.1148433383741,30.668432999998885,2298.4423930000003,58750.66162570888
1691175832,10,,Aggregated,12.500000,0.000000,100,130,190,220,420,580,930,1000,2300,2300,2300,535,0,100.0,180.5660257102802,30.668432999998885,2298.4423930000003,58454.98691588785
1691175833,10,,Aggregated,12.600000,0.000000,100,130,190,210,410,570,930,1000,2300,2300,2300,548,0,100.0,178.91143754014578,30.668432999998885,2298.4423930000003,58578.28284671533
1691175834,10,,Aggregated,12.000000,0.000000,100,130,190,220,410,570,840,1000,2300,2300,2300,560,0,100.0,178.61246185535688,30.668432999998885,2298.4423930000003,58894.58928571428
1691175836,10,,Aggregated,11.300000,0.000000,100,130,200,220,410,570,840,1000,2300,2300,2300,565,0,100.0,179.87469707787588,30.668432999998885,2298.4423930000003,58558.638938053096
1691175837,10,,Aggregated,11.600000,0.000000,100,130,190,220,410,570,840,1000,2300,2300,2300,575,0,100.0,178.86254235130409,29.785934999999597,2298.4423930000003,58174.41217391304
1691175838,10,,Aggregated,10.600000,0.000000,100,130,190,220,410,570,840,1000,2300,2300,2300,588,0,100.0,177.71907908333307,29.785934999999597,2298.4423930000003,58154.83163265306
1691175839,10,,Aggregated,10.600000,0.000000,100,130,190,220,410,570,840,1000,2300,2300,2300,597,0,100.0,177.83160474036822,29.785934999999597,2298.4423930000003,58418.53266331658
1691175840,10,,Aggregated,10.400000,0.000000,100,130,190,220,410,560,830,1000,2300,2300,2300,607,0,100.0,177.26356102965377,29.785934999999597,2298.4423930000003,58604.12520593081
1691175841,10,,Aggregated,10.300000,0.000000,100,130,200,220,410,560,830,1000,2300,2300,2300,619,0,100.0,177.72845146365074,29.785934999999597,2298.4423930000003,58591.063004846525
1691175842,10,,Aggregated,9.600000,0.000000,100,130,190,220,410,560,830,1000,2300,2300,2300,626,0,100.0,176.88113840894533,29.785934999999597,2298.4423930000003,58074.723642172525
1691175843,10,,Aggregated,9.400000,0.000000,100,130,200,220,410,560,830,1000,2300,2300,2300,632,0,100.0,177.05289433069584,29.785934999999597,2298.4423930000003,58423.737341772154
1691175844,10,,Aggregated,9.200000,0.000000,100,130,200,220,410,560,830,1000,2300,2300,2300,639,0,100.0,176.30556497183065,29.785934999999597,2298.4423930000003,58325.190923317685
1691175845,10,,Aggregated,9.300000,0.000000,100,130,200,220,410,560,830,1000,2300,2300,2300,648,0,100.0,177.41524994753047,29.785934999999597,2298.4423930000003,58060.739197530864
1691175846,10,,Aggregated,8.400000,0.000000,100,130,200,220,410,560,820,1000,2300,2300,2300,662,0,100.0,178.63725008308117,29.785934999999597,2298.4423930000003,57737.91993957704
1691175847,10,,Aggregated,8.200000,0.000000,100,130,200,220,410,560,820,1000,2300,2300,2300,678,0,100.0,176.49490852212352,29.785934999999597,2298.4423930000003,57923.4616519174
1691175848,10,,Aggregated,9.000000,0.000000,100,130,200,220,400,560,820,1000,2300,2300,2300,684,0,100.0,175.73384704239726,29.785934999999597,2298.4423930000003,57879.07748538012
1691175849,10,,Aggregated,9.400000,0.000000,100,130,190,220,390,550,800,1000,2300,2300,2300,706,0,100.0,173.72673894334247,29.785934999999597,2298.4423930000003,57829.25637393768
1691175850,10,,Aggregated,9.400000,0.000000,100,130,190,220,390,550,800,1000,2300,2300,2300,715,0,100.0,172.97132741818152,29.785934999999597,2298.4423930000003,57701.159440559444
1691175851,10,,Aggregated,9.700000,0.000000,100,130,190,210,390,550,800,1000,2300,2300,2300,724,0,100.0,172.11476775414332,29.785934999999597,2298.4423930000003,57946.26519337016
1691175852,10,,Aggregated,10.700000,0.000000,100,130,200,220,390,550,800,1000,2300,2300,2300,736,0,100.0,173.5150859470105,29.785934999999597,2298.4423930000003,58200.29483695652
1691175853,10,,Aggregated,10.400000,0.000000,100,130,200,220,400,540,800,1000,2300,2300,2300,744,0,100.0,174.06204224193513,29.785934999999597,2298.4423930000003,58328.208333333336
1691175854,10,,Aggregated,10.200000,0.000000,100,130,200,220,390,540,760,1000,2300,2300,2300,756,0,100.0,173.0659976190472,29.785934999999597,2298.4423930000003,58695.444444444445
1691175855,10,,Aggregated,11.000000,0.000000,100,140,200,220,400,540,760,1000,2300,2300,2300,765,0,100.0,174.19214160261396,29.785934999999597,2298.4423930000003,58211.603921568625
1691175856,10,,Aggregated,11.000000,0.000000,100,140,200,220,400,540,760,1000,2300,2300,2300,769,0,100.0,174.0875219765926,29.785934999999597,2298.4423930000003,57917.7022106632
1691175857,10,,Aggregated,11.400000,0.000000,100,140,200,220,390,540,760,1000,2300,2300,2300,780,0,100.0,173.6363895692304,29.785934999999597,2298.4423930000003,57215.247435897436
1691175858,10,,Aggregated,11.400000,0.000000,100,140,200,220,390,540,760,1000,2300,2300,2300,794,0,100.0,172.80147292695173,29.785934999999597,2298.4423930000003,56757.61586901763
1691175859,10,,Aggregated,10.300000,0.000000,100,140,200,220,390,540,760,1000,2300,2300,2300,798,0,100.0,172.68492485839556,29.785934999999597,2298.4423930000003,56525.6992481203
1691175861,10,,Aggregated,10.200000,0.000000,100,140,200,220,390,530,760,1000,2300,2300,2300,804,0,100.0,172.5254564042284,29.785934999999597,2298.4423930000003,56850.77860696518
1691175863,10,,Aggregated,9.000000,0.000000,100,140,200,220,390,540,800,1000,2300,2300,2300,806,0,100.0,176.93132997766708,29.785934999999597,2298.4423930000003,56754.75558312655
1691175866,10,,Aggregated,7.800000,0.000000,100,140,200,230,400,570,1000,1900,2300,2300,2300,827,0,100.0,192.0011043736392,29.785934999999597,2308.4088690000044,57011.71100362757
1691175868,10,,Aggregated,6.700000,0.000000,100,140,200,230,410,570,1000,2000,2300,2300,2300,828,0,100.0,194.52142618357442,29.785934999999597,2308.4088690000044,56986.612318840576
1691175871,10,,Aggregated,5.600000,0.000000,110,150,200,240,420,620,1900,2300,2600,2600,2600,846,0,110.0,212.69535995508238,29.785934999999597,2584.0024540000004,57314.783687943265
1691175874,10,,Aggregated,4.200000,0.000000,110,150,200,240,440,700,2000,2300,3700,3700,3700,849,0,110.0,223.0389926148406,29.785934999999597,3724.218953999994,57199.971731448764
1691175875,10,,Aggregated,4.100000,0.000000,110,160,210,240,440,720,2000,2400,3800,3800,3800,871,0,110.0,239.2555301400685,29.785934999999597,3837.1696110000075,56774.051664753155
1691175876,10,,Aggregated,4.100000,0.000000,110,160,210,240,440,720,2000,2400,3800,3800,3800,872,0,110.0,239.0230037006877,29.785934999999597,3837.1696110000075,56709.03211009174
1691175877,10,,Aggregated,3.000000,0.000000,110,160,210,240,440,710,2000,2400,3800,3800,3800,883,0,110.0,237.4847316704413,29.785934999999597,3837.1696110000075,56587.07701019252
1691175879,10,,Aggregated,4.400000,0.000000,110,160,210,240,440,720,2200,2400,3800,3800,3800,887,0,110.0,239.75276391657238,29.785934999999597,3837.1696110000075,56585.89177001127
1691175882,10,,Aggregated,4.100000,0.000000,110,160,210,260,450,760,2300,2500,3800,3800,3800,901,0,110.0,249.89848128967773,29.785934999999597,3837.1696110000075,56528.27746947836
1691175884,10,,Aggregated,5.200000,0.000000,110,160,210,260,450,800,2300,2500,3800,3800,3800,903,0,110.0,255.9848934939088,29.785934999999597,3837.1696110000075,56445.5227021041
1691175888,10,,Aggregated,4.500000,0.000000,110,170,220,270,470,1000,2400,2600,3800,3800,3800,919,0,110.0,273.8545062241563,29.785934999999597,3837.1696110000075,56570.67791077258
1691175890,10,,Aggregated,4.500000,0.000000,110,170,220,270,460,1000,2400,2600,3800,3800,3800,929,0,110.0,272.9260271722278,29.785934999999597,3837.1696110000075,56303.49515608181
1691175893,10,,Aggregated,3.300000,0.000000,110,170,220,270,460,1000,2400,2600,3800,3800,3800,945,0,110.0,271.08765081481437,29.785934999999597,3837.1696110000075,56435.41058201058
1691175894,10,,Aggregated,3.000000,0.000000,110,170,220,270,470,1000,2400,2600,3800,3800,3800,947,0,110.0,275.36654511826777,29.785934999999597,3837.1696110000075,56504.75818373812
1691175895,10,,Aggregated,4.300000,0.000000,110,170,220,290,500,1100,2400,2600,3800,3800,3800,965,0,110.0,280.0544017119167,29.785934999999597,3837.1696110000075,56513.535751295334
1691175897,10,,Aggregated,4.500000,0.000000,110,170,220,290,500,1100,2400,2600,3800,3800,3800,972,0,110.0,279.9045119938267,29.785934999999597,3837.1696110000075,56436.92695473251
1691175898,10,,Aggregated,5.000000,0.000000,110,170,220,290,510,1100,2400,2600,3800,3800,3800,981,0,110.0,280.32361556065206,29.785934999999597,3837.1696110000075,56334.32415902141
1691175899,10,,Aggregated,5.500000,0.000000,110,170,220,290,510,1100,2400,2600,3800,3800,3800,993,0,110.0,278.27774687713975,29.785934999999597,3837.1696110000075,56080.69587109768
1691175900,10,,Aggregated,6.200000,0.000000,110,170,220,290,500,1100,2300,2500,3800,3800,3800,1005,0,110.0,276.7738196049749,29.785934999999597,3837.1696110000075,56151.46368159204
1691175901,10,,Aggregated,6.200000,0.000000,110,170,220,290,500,1100,2300,2500,3800,3800,3800,1014,0,110.0,276.13605388954625,29.785934999999597,3837.1696110000075,56509.922090729786
1691175902,10,,Aggregated,7.400000,0.000000,110,170,220,290,510,1100,2300,2500,3800,3800,3800,1023,0,110.0,276.43817300879743,29.785934999999597,3837.1696110000075,56464.44281524927
1691175903,10,,Aggregated,8.500000,0.000000,110,170,220,290,510,1100,2300,2500,3800,3800,3800,1030,0,110.0,276.5355918106794,29.785934999999597,3837.1696110000075,56168.77766990291
1691175904,10,,Aggregated,7.700000,0.000000,110,170,220,290,510,1100,2300,2500,3800,3800,3800,1037,0,110.0,276.77534568563135,29.785934999999597,3837.1696110000075,56581.27097396336
1691175906,10,,Aggregated,8.600000,0.000000,110,180,220,290,520,1100,2300,2500,3800,3800,3800,1043,0,110.0,278.76462244295277,29.785934999999597,3837.1696110000075,56863.555129434324
1691175907,10,,Aggregated,8.600000,0.000000,110,180,230,290,540,1100,2300,2500,3800,3800,3800,1056,0,110.0,281.43300386931793,29.785934999999597,3837.1696110000075,56731.427083333336
1691175908,10,,Aggregated,7.500000,0.000000,110,180,230,290,560,1100,2300,2500,3800,3800,3800,1069,0,110.0,281.44761075491084,29.785934999999597,3837.1696110000075,56915.40879326473
1691175909,10,,Aggregated,8.400000,0.000000,110,180,230,290,560,1100,2300,2500,3800,3800,3800,1075,0,110.0,281.14358181023215,29.785934999999597,3837.1696110000075,56671.78697674419
1691175910,10,,Aggregated,7.800000,0.000000,110,180,230,290,550,1100,2300,2500,3800,3800,3800,1085,0,110.0,280.0130736294928,29.785934999999597,3837.1696110000075,56743.48202764977
1691175911,10,,Aggregated,8.100000,0.000000,110,180,230,300,560,1100,2300,2500,3800,3800,3800,1095,0,110.0,282.24741705753394,29.785934999999597,3837.1696110000075,56803.572602739725
